Salinas 113 diatonicScale connections#340502cd/02ca/40cd/9e54/bf5bb0f59eea.jpg#2484#1422
zarlino 278 nomi moderni ed antichi#e2689cf4/5626/41dc/b136/d08013003a60.jpg#1400#784
zarlino 219 MonochordoRegolareDiatonico#c2a31b8b/71c5/472c/9cf1/68e8f88fbf1e.jpg#2238#351
Salinas 195 RecentiorumHexachordaCumAntiqorumTetrachordis#6c2e1bcf/f51a/427c/831e/1d986a575e4b.jpg#1824#2334
